realtime_start,date,value,realtime_end,year
2018-10-27,1947-01-01,30612,2018-10-27,1947
2018-10-27,1948-01-01,31900,2018-10-27,1948
2018-10-27,1949-01-01,33257,2018-10-27,1949
2018-10-27,1950-01-01,34075,2018-10-27,1950
2018-10-27,1951-01-01,34391,2018-10-27,1951
2018-10-27,1952-01-01,35164,2018-10-27,1952
2018-10-27,1953-01-01,35577,2018-10-27,1953
2018-10-27,1954-01-01,35926,2018-10-27,1954
2018-10-27,1955-01-01,36251,2018-10-27,1955
2018-10-27,1956-01-01,37047,2018-10-27,1956
2018-10-27,1957-01-01,37718,2018-10-27,1957
2018-10-27,1958-01-01,37911,2018-10-27,1958
2018-10-27,1959-01-01,38410,2018-10-27,1959
2018-10-27,1960-01-01,39254,2018-10-27,1960
2018-10-27,1961-01-01,39620,2018-10-27,1961
2018-10-27,1962-01-01,40404,2018-10-27,1962
2018-10-27,1963-01-01,40888,2018-10-27,1963
2018-10-27,1964-01-01,41341,2018-10-27,1964
2018-10-27,1965-01-01,41689,2018-10-27,1965
2018-10-27,1966-01-01,42263,2018-10-27,1966
2018-10-27,1967-01-01,42743,2018-10-27,1967
2018-10-27,1968-01-01,43507,2018-10-27,1968
2018-10-27,1969-01-01,44086,2018-10-27,1969
2018-10-27,1970-01-01,44728,2018-10-27,1970
2018-10-27,1971-01-01,44928,2018-10-27,1971
2018-10-27,1972-01-01,45724,2018-10-27,1972
2018-10-27,1973-01-01,46297,2018-10-27,1973
2018-10-27,1974-01-01,46787,2018-10-27,1974
2018-10-27,1975-01-01,46951,2018-10-27,1975
2018-10-27,1976-01-01,47297,2018-10-27,1976
2018-10-27,1977-01-01,47471,2018-10-27,1977
2018-10-27,1978-01-01,47357,2018-10-27,1978
2018-10-27,1979-01-01,47662,2018-10-27,1979
2018-10-27,1980-01-01,49112,2018-10-27,1980
2018-10-27,1981-01-01,49294,2018-10-27,1981
2018-10-27,1982-01-01,49630,2018-10-27,1982
2018-10-27,1983-01-01,49908,2018-10-27,1983
2018-10-27,1984-01-01,50081,2018-10-27,1984
2018-10-27,1985-01-01,50350,2018-10-27,1985
2018-10-27,1986-01-01,50933,2018-10-27,1986
2018-10-27,1987-01-01,51537,2018-10-27,1987
2018-10-27,1988-01-01,51675,2018-10-27,1988
2018-10-27,1989-01-01,52100,2018-10-27,1989
2018-10-27,1990-01-01,52317,2018-10-27,1990
2018-10-27,1991-01-01,52147,2018-10-27,1991
2018-10-27,1992-01-01,52457,2018-10-27,1992
2018-10-27,1993-01-01,53090,2018-10-27,1993
2018-10-27,1994-01-01,53171,2018-10-27,1994
2018-10-27,1995-01-01,53858,2018-10-27,1995
2018-10-27,1996-01-01,53567,2018-10-27,1996
2018-10-27,1997-01-01,53604,2018-10-27,1997
2018-10-27,1998-01-01,54317,2018-10-27,1998
2018-10-27,1999-01-01,54770,2018-10-27,1999
2018-10-27,2000-01-01,55311,2018-10-27,2000
2018-10-27,2001-01-01,56592,2018-10-27,2001
2018-10-27,2002-01-01,56747,2018-10-27,2002
2018-10-27,2003-01-01,57320,2018-10-27,2003
2018-10-27,2004-01-01,57719,2018-10-27,2004
2018-10-27,2005-01-01,57975,2018-10-27,2005
2018-10-27,2006-01-01,58179,2018-10-27,2006
2018-10-27,2007-01-01,58945,2018-10-27,2007
2018-10-27,2008-01-01,58370,2018-10-27,2008
2018-10-27,2009-01-01,59118,2018-10-27,2009
2018-10-27,2010-01-01,58410,2018-10-27,2010
2018-10-27,2011-01-01,58656,2018-10-27,2011
2018-10-27,2012-01-01,58949,2018-10-27,2012
2018-10-27,2013-01-01,59204,2018-10-27,2013
2018-10-27,2014-01-01,59629,2018-10-27,2014
2018-10-27,2015-01-01,60010,2018-10-27,2015
2018-10-27,2016-01-01,60251,2018-10-27,2016
2018-10-27,2017-01-01,60804,2018-10-27,2017
